author,teks
@grg4a765,"Jhon kok cepet amat dapet update an lapkeu, caranya gimana jhon biar g ketingalan, kan g mungkin kita cek satu2 per emiten"
@El-rb9yy,Akhirnya bahas ptba lagi. Gua ngantri di 2200-2300 🙏
@heroemuiman800,Waduhh..
@Mankdolz,Gokil.... 😂😂😂
@pelangi_hitam,berat kali
@hendrylee2581,turun gocap baru cicil
@pelangi_hitam,@@hendrylee2581 waduhh
@Sigalinggingheri,Pening dng roboh nya . . . Apa terjun spt history BUMI😂
@pdkudamas,Beda lah dengan BUMI. Kalau BUMI pengendalinya aduh.
@Sigalinggingheri,"@@pdkudamas Iya, dengan business plan nya PTBA akan growth, instead of Batubara👍☕️ akan jadi kenyataan🙏"
@pdkudamas,"@@Sigalinggingheri iya. BUMI jg ga pernah bagi dividend, walaupun perusahaan laba. Jd cuma berharap capital gain."
@JHVR1810,Kalo BUMI pengendalinya Nia Ramadhani😂
@pdkudamas,@@JHVR1810 nah...
@paulusharmoko6101,Good Job Will👍
@ellysusia2800,"Terimakasih jon, saham andalan saya jon"
@afdulgapur4725,Hadirrr
@fiqridihar437,Termikasih ganteng 🙏🏻
@papahkiki8155,waduh ga ada cash lagi😅
@edwinfajar7057,Siap siap ke 2000
@nirzanurfitriano4515,Mantap ptba roboh bro 2.590... Semoga besok masih turun.... Mumpung gajian bisa nambah muatan dikit....
@heroemuiman800,Tungguin bang..😂😂
@jambujaya2131,Serok yg buanyak bosss
@jatmikokurniawan1103,bahas tapg bang🙏
@jembak06..,Nyimak
@farelsaputra1377,bang Sido bang
@iradatimanamanda9087,Setujuu
@muhammadarif5998,"Pertama Jon, Waktunya Serok PTBA"
@rudiwahyudi9244,Mantul free yourk 🙏 pertamx 17.41
@soundtubefree8075,Mantul free yourk 😊
@Mankdolz,Hadir
@jhonpolmanpurba7625,Masih hold ptba Bang
@ThePietzpanca,Kalo Porto ptba merah nyangkut di 3000 tetep hold bang?
@mukhammadsuharis782,"Terimakasih bang, langsung dibahas 🗿"
@kamalayaofficial8942,Pertama
